avatarThumbnail,cid,createTime,createTimeISO,diggCount,input,likedByAuthor,pinnedByAuthor,repliesToId,replyCommentTotal,submittedVideoUrl,text,uid,uniqueId,videoWebUrl
https://p19-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/c1f35c479f1d63ec17d7f9305f21c871~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=3f606cf5&x-expires=1746172800&x-signature=7Xd9RiG52mrwGpdOp1FoU6IOaHQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,7.49075E+18,1744077157,2025-04-08T01:52:37.000Z,0,https://vt.tiktok.com/ZSh8FQbqo/,FALSE,FALSE,,0,https://vt.tiktok.com/ZSh8FQbqo/,Pay pay pay😂😂😂😂😂,7.40974E+18,ewl.hasan,https://www.tiktok.com/@hai_online/video/7473394493971074311
https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/2f379305e194faaf526a5e0a9e846333~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=93abe0c8&x-expires=1746172800&x-signature=RBroIFcScaNdi1HZ9RcTDkDT4SU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,7.4734E+18,1740035565,2025-02-20T07:12:45.000Z,232,https://vt.tiktok.com/ZSh8FQbqo/,FALSE,FALSE,,1,https://vt.tiktok.com/ZSh8FQbqo/,what a joke,6.9042E+18,alanscout_,https://www.tiktok.com/@hai_online/video/7473394493971074311
https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/169c354b4721909140d39231f17d961b~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=4540e17b&x-expires=1746172800&x-signature=KZnRVMOBm47DMp0KI8C8vTZ%2B0us%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,7.47345E+18,1740047314,2025-02-20T10:28:34.000Z,4734,https://vt.tiktok.com/ZSh8FQbqo/,FALSE,FALSE,,31,https://vt.tiktok.com/ZSh8FQbqo/,"SUKATANI TIDAK KLARIFIKASI, TAPI TERINTIMIDASI
#KamiBersamaSUKATANI",6.94065E+18,bukanpahlawan432,https://www.tiktok.com/@hai_online/video/7473394493971074311
https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/115091eada97c2739864fbbea30b53cd~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=b2c732f6&x-expires=1746172800&x-signature=nDlzcVugAWkH7NzLxu5L%2FmWaqhY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,7.4734E+18,1740035625,2025-02-20T07:13:45.000Z,6300,https://vt.tiktok.com/ZSh8FQbqo/,FALSE,FALSE,,8,https://vt.tiktok.com/ZSh8FQbqo/,Kami bersama sukatani,6.95899E+18,arishamim_,https://www.tiktok.com/@hai_online/video/7473394493971074311
https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/5ac2264c2a845aaea2f7049fa2aca906~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=5c302ca2&x-expires=1746172800&x-signature=WSCokqYqSYSo%2BSlHV1vnSUlThqs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,7.47354E+18,1740068176,2025-02-20T16:16:16.000Z,4927,https://vt.tiktok.com/ZSh8FQbqo/,FALSE,FALSE,,36,https://vt.tiktok.com/ZSh8FQbqo/,"YOK KALIAN YG BISA MAIN MUSIK, MULAI SEKARANG COVER LAGU MEREKA YG BAYAR BAYAR BAYAR!!!!",6.89635E+18,mrxxx0073,https://www.tiktok.com/@hai_online/video/7473394493971074311
https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/529448dbfcc3d03df007d301af25b022~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=462fe6c0&x-expires=1746172800&x-signature=0jqfhV0jS8iH9tUtr1i4vE8iSm4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,7.47346E+18,1740049863,2025-02-20T11:11:03.000Z,1621,https://vt.tiktok.com/ZSh8FQbqo/,FALSE,FALSE,,16,https://vt.tiktok.com/ZSh8FQbqo/,"kok isok 😂
padahal kenyataane ngono.
bayar bayar bayar 😂",6.86977E+18,kakao_6790,https://www.tiktok.com/@hai_online/video/7473394493971074311
https://p16-common-sign-va.tiktokcdn-us.com/musically-maliva-obj/1594805258216454~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=8a29684a&x-expires=1746172800&x-signature=7DZto9hg0aqFDqq0kULxMSzQbEQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,7.4734E+18,1740035625,2025-02-20T07:13:45.000Z,5228,https://vt.tiktok.com/ZSh8FQbqo/,FALSE,FALSE,,21,https://vt.tiktok.com/ZSh8FQbqo/,"wah parah, padahal liriknya fakta semua",7.11036E+18,addamn666,https://www.tiktok.com/@hai_online/video/7473394493971074311
https://p16-common-sign-useast2a.tiktokcdn-us.com/tos-useast2a-avt-0068-giso/8fbedd063a05bdda647c613e9b2ff1fa~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=41495f5d&x-expires=1746172800&x-signature=zwYu7Gg0ILngaflmRdoYnhGJ%2B7s%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,7.4734E+18,1740035925,2025-02-20T07:18:45.000Z,3737,https://vt.tiktok.com/ZSh8FQbqo/,FALSE,FALSE,,50,https://vt.tiktok.com/ZSh8FQbqo/,sukatani ga salah ini knpa pada minta naaf,6.93092E+18,just.nopall5,https://www.tiktok.com/@hai_online/video/7473394493971074311
https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/28db0483692d771e505cbf7a55d917d4~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=3425b0f7&x-expires=1746172800&x-signature=SWkWZApauMa9VQh5gfNiQVuUSIQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,7.47342E+18,1740040846,2025-02-20T08:40:46.000Z,19992,https://vt.tiktok.com/ZSh8FQbqo/,FALSE,FALSE,,191,https://vt.tiktok.com/ZSh8FQbqo/,"mereka bukan KLARIFIKASI, mereka DIINTIMIDASI",6.92503E+18,wztrippiee,https://www.tiktok.com/@hai_online/video/7473394493971074311
https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/8ce6c2871a5023229e148d56adab1d67~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=881af7f5&x-expires=1746172800&x-signature=Jk7exnFZJnzt9oNbQs7qNerOTfI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,7.47343E+18,1740043621,2025-02-20T09:27:01.000Z,250,https://vt.tiktok.com/ZSh8FQbqo/,FALSE,FALSE,,1,https://vt.tiktok.com/ZSh8FQbqo/,Berarti apa yg di nyanyikan oleh sukatani adalah nyata adanya😂,7.00946E+18,apriweah,https://www.tiktok.com/@hai_online/video/7473394493971074311
