komentar,sentimen
Kami bersama sukatani.,Negatif
Sukatani berkata benar.,Negatif
Kayanya grup band sukatani gak bisa bayar nih hingga minta maaf.,Negatif
Polisi adalah hama.,Negatif
Di bungkam karena fakta.,Negatif
"Tugas jibril memberi wahyu, tugas sukatani memberi fakta.",Negatif
Rip kebebasan berekspresi.,Negatif
Mereka bukan klarifikasi tapi diintimidasi.,Negatif
Realita yang dibungkam.,Negatif
Ngapain minta maaf?Tersinggung artinya?Karya seni dibungkam=lawan.Bapak gue polisi gue setel didepan bapak gue hahahaha.Yang bikin susah kita mengekspresikan kritikan kita kepada pemerintah UU ITE.Padahal lagunya itu kritikan harusnya lembaga  yang dikritik ya berbenah.Intinya ya bayar polisi.Kalian mewakili rakyat.Kocak polri.Klarifikasi karena belum bayar polisi.Purbalingga.Padahal fakta.KAMIBERSAMASUKATANI.Ngapain minta maafDan lagi karya dibatasi.Kalo bicara fakta memang susah di konoha.kenapa?jujur itu susah.Negara kocak.Lah kan emang kalo gak bayar gak diurus.Bayar bayar bayar.Sama lirik doang panik.,Negatif
